#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
2	217	+	contig_0	-3.153967E+00
214	744	+	contig_0	-5.827898E+03
731	1201	+	contig_0	-7.463925E+03
1189	1506	+	contig_0	-5.518160E+01
1508	1801	+	contig_0	-1.618814E+03
1886	2101	+	contig_0	-1.270202E+01
2140	2289	+	contig_0	-3.304932E+00
2277	3077	+	contig_0	-1.154820E+05
3132	3458	+	contig_0	-6.155702E+01
3471	3878	+	contig_0	-5.949386E+02
4371	3886	-	contig_0	-1.380214E+02
4627	4385	-	contig_0	-1.061162E+01
4853	4617	-	contig_0	-5.067186E+01
4989	4888	-	contig_0	-4.822317E-01
