#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
874	2	-	contig_0	-5.968829E+06
1692	871	-	contig_0	-1.455370E+06
1844	1734	-	contig_0	-1.440180E+00
2149	1919	-	contig_0	-5.329884E+00
2293	2195	-	contig_0	-3.491672E+00
2421	2293	-	contig_0	-2.093654E-01
3382	2405	-	contig_0	-3.125237E+03
3701	3405	-	contig_0	-3.205199E+01
4053	3709	-	contig_0	-1.870640E+02
5031	4090	-	contig_0	-9.639272E+05
5105	5380	+	contig_0	-1.612549E+00
5847	5455	-	contig_0	-3.427963E+02
6146	5844	-	contig_0	-6.281065E+01
8049	6124	-	contig_0	-6.917765E+09
8174	8085	-	contig_0	-1.359024E-01
9099	8200	-	contig_0	-1.375940E+06
9713	9186	-	contig_0	-2.476298E+02
10186	9713	-	contig_0	-2.612927E+02
10714	10196	-	contig_0	-1.690994E+04
11346	10696	-	contig_0	-2.573233E+03
11696	11343	-	contig_0	-7.624095E+02
11895	11668	-	contig_0	-2.642665E+01
12381	11938	-	contig_0	-1.162156E+03
13182	12514	-	contig_0	-9.312740E+04
13964	13281	-	contig_0	-1.104614E+04
14428	13973	-	contig_0	-7.661994E+03
14841	14428	-	contig_0	-6.101931E+02
16200	14842	-	contig_0	-2.330175E+08
16375	16202	-	contig_0	-1.387035E+01
16857	16486	-	contig_0	-2.440497E+03
17674	16844	-	contig_0	-6.596674E+05
18532	17720	-	contig_0	-1.013024E+04
19033	18671	-	contig_0	-2.239735E+02
20104	19079	-	contig_0	-5.021214E+09
20394	20122	-	contig_0	-1.003790E+02
20578	20465	-	contig_0	-4.636948E-01
20625	20729	+	contig_0	-1.429294E-01
22387	21137	-	contig_0	-5.742564E+07
22759	22448	-	contig_0	-2.194634E+02
22884	22762	-	contig_0	-6.739783E+00
23122	22901	-	contig_0	-9.042981E+01
23366	23100	-	contig_0	-8.482969E+01
23837	23484	-	contig_0	-6.575519E+01
23946	23785	-	contig_0	-2.046573E+02
24281	24012	-	contig_0	-4.875366E+01
24651	24379	-	contig_0	-1.168878E+02
24828	24718	-	contig_0	-1.592051E-01
24975	24850	-	contig_0	-3.278325E+00
#id:	contig_5
#START	STOP	FRAME	CONTIG	SCORE
