#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
150	1	-	contig_0	-1.478288E+00
299	201	-	contig_0	-4.556558E-02
333	425	+	contig_0	-8.481940E-01
475	597	+	contig_0	-4.377525E+02
798	682	-	contig_0	-4.265925E-02
889	1026	+	contig_0	-4.213607E+00
1060	1161	+	contig_0	-2.867663E+00
1213	1593	+	contig_0	-1.554418E+03
1580	1696	+	contig_0	-1.059675E+00
1741	2019	+	contig_0	-1.216261E+03
2076	2369	+	contig_0	-5.934000E+03
2395	2946	+	contig_0	-1.225794E+08
2990	3139	+	contig_0	-1.591455E-01
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
51	1757	+	contig_1	-1.056356E+17
