#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
63	1811	+	contig_0	-8.252255E+10
1896	2174	+	contig_0	-4.884338E+03
2177	2398	+	contig_0	-3.876738E+00
2408	3637	+	contig_0	-6.154513E+09
3638	3748	+	contig_0	-6.931846E+00
3735	3830	+	contig_0	-6.472368E+00
3818	4069	+	contig_0	-1.871054E+01
4079	4186	+	contig_0	-1.577720E-01
4206	4562	+	contig_0	-1.719559E+02
4628	4849	+	contig_0	-1.007731E+02
4937	5209	+	contig_0	-1.384713E+00
5247	6386	+	contig_0	-1.648224E+07
6405	6623	+	contig_0	-5.102781E+01
6633	6926	+	contig_0	-5.128905E+03
6880	7551	+	contig_0	-5.256832E+06
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
#id:	contig_2
#START	STOP	FRAME	CONTIG	SCORE
3	236	+	contig_2	-2.595813E+02
321	584	+	contig_2	-1.993427E+02
627	875	+	contig_2	-2.862845E+03
900	1073	+	contig_2	-1.422192E+02
1057	1476	+	contig_2	-5.833119E+02
1815	1693	-	contig_2	-3.284222E-01
2054	1947	-	contig_2	-2.662729E+00
2030	2683	+	contig_2	-8.223369E+03
3075	2839	-	contig_2	-8.782102E+00
3229	3654	+	contig_2	-3.656845E+03
3743	3910	+	contig_2	-4.032467E+01
3925	4083	+	contig_2	-4.301675E+01
4086	4454	+	contig_2	-1.388257E+02
4468	4797	+	contig_2	-2.515802E+03
5050	4811	-	contig_2	-2.750506E+01
5031	5522	+	contig_2	-4.827290E+02
5694	5512	-	contig_2	-3.706220E+00
5774	6037	+	contig_2	-1.856903E+01
6034	6255	+	contig_2	-7.128269E+01
6255	6557	+	contig_2	-1.876955E+02
6570	6773	+	contig_2	-1.377904E+02
6730	7452	+	contig_2	-2.976722E+04
7465	7722	+	contig_2	-1.766400E+02
7834	8220	+	contig_2	-1.907777E+03
8231	8608	+	contig_2	-1.045536E+03
8651	8824	+	contig_2	-4.205925E+01
8949	9179	+	contig_2	-9.304890E+00
#id:	contig_3
#START	STOP	FRAME	CONTIG	SCORE
3	665	+	contig_3	-1.278120E+04
674	2245	+	contig_3	-5.568847E+12
2268	2507	+	contig_3	-9.330074E+01
2504	2662	+	contig_3	-6.390196E+01
2756	2974	+	contig_3	-1.242340E+02
3161	2964	-	contig_3	-1.913690E+00
3148	3522	+	contig_3	-1.038040E+03
3626	3877	+	contig_3	-4.031699E+00
3914	4708	+	contig_3	-4.490531E+06
4827	5198	+	contig_3	-7.399661E-01
5266	5397	+	contig_3	-1.960058E-01
5363	5569	+	contig_3	-1.125762E+02
5653	6111	+	contig_3	-8.807350E+02
6108	6641	+	contig_3	-5.803288E+02
6638	7495	+	contig_3	-1.166065E+08
7707	7585	-	contig_3	-1.694827E-01
8034	7729	-	contig_3	-6.678185E+02
8205	8813	+	contig_3	-8.675000E+03
8810	9646	+	contig_3	-3.171694E+06
9770	9621	-	contig_3	-1.553310E+00
9947	9777	-	contig_3	-1.190570E-01
9950	10906	+	contig_3	-2.451851E+07
11009	11620	+	contig_3	-4.496705E+03
11634	11942	+	contig_3	-6.448700E+00
12024	12563	+	contig_3	-4.232894E+04
12577	13086	+	contig_3	-1.030235E+04
13058	13351	+	contig_3	-1.110231E+02
13356	13712	+	contig_3	-3.471833E+02
13709	13930	+	contig_3	-2.577437E+01
14072	14719	+	contig_3	-1.339396E+07
14716	15012	+	contig_3	-1.663057E+02
15147	15446	+	contig_3	-5.045305E+01
15451	15663	+	contig_3	-6.003688E+02
15669	16097	+	contig_3	-1.628459E+04
16112	16201	+	contig_3	-3.265074E-01
16223	16345	+	contig_3	-1.093375E-01
16965	16348	-	contig_3	-2.626992E+04
17378	17127	-	contig_3	-5.341942E+00
17555	17668	+	contig_3	-1.615539E+00
17810	18070	+	contig_3	-5.622223E+01
18079	18318	+	contig_3	-1.522067E+02
19022	18411	-	contig_3	-7.889432E+03
19158	18952	-	contig_3	-1.994761E+02
19741	19220	-	contig_3	-4.082665E+04
19971	19771	-	contig_3	-3.015586E+01
20059	20310	+	contig_3	-2.448680E+03
20371	20670	+	contig_3	-1.004503E+02
20771	21052	+	contig_3	-8.704473E+01
21234	21674	+	contig_3	-7.339078E+04
21599	21949	+	contig_3	-1.572994E+03
21950	23158	+	contig_3	-1.447128E+12
23197	23295	+	contig_3	-8.626435E+00
23318	23665	+	contig_3	-7.660848E+02
23702	23908	+	contig_3	-1.593798E+01
23994	24176	+	contig_3	-2.907481E+01
24192	24341	+	contig_3	-3.703932E-01
24381	24533	+	contig_3	-1.182261E+02
24551	24739	+	contig_3	-1.136250E+02
24756	25394	+	contig_3	-4.306313E+05
25398	25748	+	contig_3	-6.733328E+03
25699	26433	+	contig_3	-7.425662E+08
26435	26548	+	contig_3	-1.197150E-01
26561	27106	+	contig_3	-3.989892E+03
27184	27339	+	contig_3	-4.966380E+01
27342	27566	+	contig_3	-1.664305E+03
27563	27685	+	contig_3	-2.814539E+01
27703	28020	+	contig_3	-7.940289E+02
28090	28425	+	contig_3	-2.296845E+02
28430	28828	+	contig_3	-1.277267E+06
28973	28872	-	contig_3	-1.662783E+00
28987	29430	+	contig_3	-2.337857E+02
29559	29825	+	contig_3	-7.391415E+02
29837	30223	+	contig_3	-1.696704E+03
30192	30440	+	contig_3	-2.050250E+02
30437	30799	+	contig_3	-6.353806E+01
30796	31074	+	contig_3	-2.702802E+02
31088	31606	+	contig_3	-2.521100E+05
31616	32071	+	contig_3	-4.805200E+03
32075	32323	+	contig_3	-3.202569E+02
32333	32461	+	contig_3	-4.725566E+00
32451	32699	+	contig_3	-5.121334E+02
32738	33247	+	contig_3	-4.590520E+04
