#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
230	45	-	contig_0	-1.887477E+00
1227	280	-	contig_0	-8.803224E+08
1466	1227	-	contig_0	-1.533049E+02
1774	1463	-	contig_0	-2.567799E+03
2160	1771	-	contig_0	-6.167347E+02
2362	2210	-	contig_0	-4.338701E+01
2526	2335	-	contig_0	-2.301957E+02
2789	2643	-	contig_0	-7.202744E-02
2988	2884	-	contig_0	-1.297595E+01
3988	3026	-	contig_0	-1.280851E+09
5395	4061	-	contig_0	-8.363749E+15
5672	5397	-	contig_0	-4.729286E+02
5766	5641	-	contig_0	-2.391771E+00
5769	6254	+	contig_0	-7.075243E+04
6238	6441	+	contig_0	-1.138999E+01
6441	6689	+	contig_0	-4.222184E+01
6730	6969	+	contig_0	-8.010694E+00
6971	7162	+	contig_0	-5.086794E+01
8866	7136	-	contig_0	-7.628537E+15
9163	9065	-	contig_0	-9.576269E-02
9219	9551	+	contig_0	-4.573673E+02
9548	10000	+	contig_0	-2.188839E+06
