#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
376	89	-	contig_0	-9.039544E+01
946	479	-	contig_0	-3.058823E+01
1059	943	-	contig_0	-2.136888E+00
1083	1799	+	contig_0	-9.928787E+02
1811	1996	+	contig_0	-1.619113E+01
2883	2047	-	contig_0	-1.817626E+05
3631	2930	-	contig_0	-1.616858E+03
3834	3649	-	contig_0	-3.310496E+01
4035	3931	-	contig_0	-2.095089E-01
4222	4001	-	contig_0	-3.832194E+01
4560	4276	-	contig_0	-6.208426E+01
4840	4613	-	contig_0	-5.240993E+01
5194	4865	-	contig_0	-5.903032E+00
5432	5196	-	contig_0	-7.892559E+01
6067	5429	-	contig_0	-2.974053E+03
6336	6049	-	contig_0	-1.119635E+01
7643	6324	-	contig_0	-4.060132E+06
8076	7720	-	contig_0	-5.555402E+01
9072	8098	-	contig_0	-3.053467E+04
9493	9125	-	contig_0	-2.383846E+01
9857	9663	-	contig_0	-3.525953E+00
9958	9869	-	contig_0	-4.932025E+00
10141	9965	-	contig_0	-2.184593E-01
10558	10241	-	contig_0	-1.645015E+02
10698	10555	-	contig_0	-1.312541E+00
11261	10791	-	contig_0	-3.606767E+02
11525	11274	-	contig_0	-5.806885E+00
14875	11516	-	contig_0	-3.481897E+19
15374	14880	-	contig_0	-1.379268E+03
15592	15434	-	contig_0	-1.573336E-01
16100	15639	-	contig_0	-3.038799E+03
16300	16151	-	contig_0	-2.136724E+01
16405	16521	+	contig_0	-2.232597E+00
16651	16782	+	contig_0	-6.370417E+00
18275	16800	-	contig_0	-6.648831E+08
18614	18300	-	contig_0	-1.857424E+02
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
281	3	-	contig_1	-1.283915E+02
615	370	-	contig_1	-7.176737E+01
772	644	-	contig_1	-3.845434E+01
1137	772	-	contig_1	-3.235281E+02
1342	1124	-	contig_1	-9.598448E-01
1571	1362	-	contig_1	-6.511055E+00
1552	1950	+	contig_1	-1.758336E+02
1960	2814	+	contig_1	-7.940846E+04
2762	3181	+	contig_1	-1.004985E+02
3265	3390	+	contig_1	-3.656724E+00
3387	4649	+	contig_1	-4.604660E+07
4618	5001	+	contig_1	-1.172922E+02
5034	6245	+	contig_1	-1.375365E+06
6345	6908	+	contig_1	-9.831133E+01
6917	7018	+	contig_1	-1.380393E+01
#id:	contig_2
#START	STOP	FRAME	CONTIG	SCORE
5	205	+	contig_2	-1.286127E+01
218	571	+	contig_2	-3.108408E+03
699	908	+	contig_2	-2.188798E+00
1040	1945	+	contig_2	-7.970207E+05
2032	2181	+	contig_2	-5.822272E+00
2178	2576	+	contig_2	-3.865152E+01
2582	3007	+	contig_2	-2.267119E+02
3687	3004	-	contig_2	-3.489737E+03
3898	3800	-	contig_2	-1.511747E+00
3947	4315	+	contig_2	-5.709970E+02
4870	4397	-	contig_2	-4.124391E+03
5154	4981	-	contig_2	-1.184648E-01
5392	5282	-	contig_2	-2.918732E+00
5565	5476	-	contig_2	-2.171920E+00
5827	5726	-	contig_2	-1.259195E-01
5990	5838	-	contig_2	-4.268094E-01
6185	6012	-	contig_2	-1.194063E+02
6419	6261	-	contig_2	-4.925468E+02
7031	6426	-	contig_2	-6.996615E+04
7341	7000	-	contig_2	-2.511584E+02
#id:	contig_3
#START	STOP	FRAME	CONTIG	SCORE
226	2	-	contig_3	-1.700727E+01
322	227	-	contig_3	-1.929260E+01
590	312	-	contig_3	-1.571360E+02
701	606	-	contig_3	-8.552429E-01
810	694	-	contig_3	-2.547744E+00
#id:	contig_4
#START	STOP	FRAME	CONTIG	SCORE
359	3	-	contig_4	-3.302475E+02
802	404	-	contig_4	-2.012723E+01
828	917	+	contig_4	-3.376749E+00
962	2050	+	contig_4	-4.463624E+06
2124	2264	+	contig_4	-7.519895E+00
3106	2399	-	contig_4	-1.002973E+04
3116	3211	+	contig_4	-3.553907E+00
3242	3688	+	contig_4	-3.885481E+02
3730	4026	+	contig_4	-6.021587E+01
4038	4571	+	contig_4	-3.282866E+02
4483	5043	+	contig_4	-5.221317E+03
5040	5411	+	contig_4	-1.233580E+02
5411	5692	+	contig_4	-5.008385E+01
5733	5933	+	contig_4	-9.605492E+00
5966	6091	+	contig_4	-8.467329E-01
6125	6295	+	contig_4	-7.523450E+00
6292	7089	+	contig_4	-1.254248E+04
7089	7436	+	contig_4	-2.917718E+00
7433	7597	+	contig_4	-1.397582E+01
7610	7858	+	contig_4	-1.925852E+01
7849	8118	+	contig_4	-1.188059E+01
8081	8269	+	contig_4	-2.950895E+00
8280	8468	+	contig_4	-8.675554E+00
8499	8600	+	contig_4	-1.550762E+00
8600	8704	+	contig_4	-1.705744E+00
8717	8887	+	contig_4	-1.606552E-01
8924	9157	+	contig_4	-7.463573E+00
9255	9947	+	contig_4	-9.606214E+04
10005	10097	+	contig_4	-2.835425E+00
10240	10992	+	contig_4	-6.299121E+04
10989	11156	+	contig_4	-4.708160E+00
11165	11389	+	contig_4	-1.193044E+01
11540	11746	+	contig_4	-5.207286E-01
11728	11829	+	contig_4	-6.672193E-02
11836	12276	+	contig_4	-4.449763E+02
12230	12343	+	contig_4	-6.019538E+00
12501	12812	+	contig_4	-1.461960E+02
12809	13246	+	contig_4	-5.430196E+02
13263	13457	+	contig_4	-1.076477E+01
13457	13663	+	contig_4	-3.097247E+01
13675	14277	+	contig_4	-1.379259E+03
14323	15468	+	contig_4	-9.955023E+05
15481	15747	+	contig_4	-1.568008E+02
15750	16124	+	contig_4	-1.120196E+03
