#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
3	98	+	contig_0	-1.953705E-01
91	213	+	contig_0	-2.608202E+00
#id:	contig_3
#START	STOP	FRAME	CONTIG	SCORE
105	16	-	contig_3	-2.004358E+00
685	152	-	contig_3	-8.697632E+02
901	722	-	contig_3	-3.017101E+01
1048	929	-	contig_3	-6.168689E-01
1760	1239	-	contig_3	-2.880830E+03
2163	1825	-	contig_3	-1.856449E+03
2682	2254	-	contig_3	-4.601089E+02
3543	2749	-	contig_3	-6.358129E+05
3802	3557	-	contig_3	-3.034469E+01
4012	3803	-	contig_3	-9.088664E+00
4539	4009	-	contig_3	-7.306427E+03
4941	4711	-	contig_3	-5.507917E-01
5309	4938	-	contig_3	-1.143282E+02
6418	5378	-	contig_3	-7.033377E+08
6856	6512	-	contig_3	-1.387440E+03
7384	6872	-	contig_3	-2.425045E+03
8004	7444	-	contig_3	-1.825779E+04
7991	8221	+	contig_3	-1.657547E+01
8776	8342	-	contig_3	-1.638631E+02
9105	8851	-	contig_3	-1.926438E+02
9732	9142	-	contig_3	-2.350976E+05
9968	9789	-	contig_3	-8.454475E-01
10796	9987	-	contig_3	-7.843913E+06
10870	10778	-	contig_3	-4.312352E+00
11152	10961	-	contig_3	-9.777165E+00
11311	11198	-	contig_3	-1.307342E+01
11518	11363	-	contig_3	-3.902055E+01
12105	11509	-	contig_3	-1.387235E+03
12916	12119	-	contig_3	-1.335127E+05
13304	12975	-	contig_3	-2.401050E+02
13570	13292	-	contig_3	-1.783375E+02
13737	13618	-	contig_3	-1.039204E+01
13797	13979	+	contig_3	-3.238814E+01
13988	14149	+	contig_3	-3.992232E+01
14146	14292	+	contig_3	-9.689046E-01
14337	14540	+	contig_3	-7.134791E+01
14591	14704	+	contig_3	-3.292077E+00
14792	15112	+	contig_3	-4.031066E+02
15282	15905	+	contig_3	-8.745735E+05
15977	16489	+	contig_3	-6.379028E+03
16504	16974	+	contig_3	-6.357680E+04
16952	17476	+	contig_3	-7.024365E+03
17539	17679	+	contig_3	-3.495651E+00
17695	18132	+	contig_3	-9.947502E+01
18212	19057	+	contig_3	-8.717967E+05
19146	19271	+	contig_3	-4.797493E+00
19264	19845	+	contig_3	-1.251711E+06
19845	20429	+	contig_3	-6.966266E+04
20536	20706	+	contig_3	-1.628295E+01
20700	20789	+	contig_3	-5.784461E+00
20789	21058	+	contig_3	-9.920599E+02
21115	21204	+	contig_3	-1.759070E-01
21227	21520	+	contig_3	-9.665670E+01
21567	22103	+	contig_3	-1.068179E+04
22106	22261	+	contig_3	-6.188142E+00
22275	22367	+	contig_3	-1.779538E+01
22591	22881	+	contig_3	-1.157430E+03
22901	23266	+	contig_3	-5.540681E+02
23380	23574	+	contig_3	-1.998021E+00
#id:	contig_4
#START	STOP	FRAME	CONTIG	SCORE
3	719	+	contig_4	-7.740532E+06
685	900	+	contig_4	-3.773660E+01
897	1133	+	contig_4	-4.645145E+01
