locus_tag	ftype	gene	EC_number	product
PHAGE_00001	CDS	hypothetical protein
PHAGE_00002	CDS	hypothetical protein
PHAGE_00003	CDS	hypothetical protein
PHAGE_00004	CDS	hypothetical protein
PHAGE_00005	CDS	hypothetical protein
PHAGE_00006	CDS	hypothetical protein
PHAGE_00007	CDS	hypothetical protein
PHAGE_00008	CDS	hypothetical protein
PHAGE_00009	CDS	hypothetical protein
PHAGE_00010	CDS	hypothetical protein
PHAGE_00011	CDS	hypothetical protein
PHAGE_00012	CDS	hypothetical protein
PHAGE_00013	CDS	hypothetical protein
PHAGE_00014	CDS	hypothetical protein
PHAGE_00015	CDS	hypothetical protein
PHAGE_00016	CDS	hypothetical protein
PHAGE_00017	CDS	hypothetical protein
PHAGE_00018	CDS	hypothetical protein
PHAGE_00019	CDS	hypothetical protein
PHAGE_00020	CDS	hypothetical protein
PHAGE_00021	CDS	hypothetical protein
PHAGE_00022	CDS	hypothetical protein
PHAGE_00023	CDS	hypothetical protein
PHAGE_00024	CDS	hypothetical protein
PHAGE_00025	CDS	hypothetical protein
PHAGE_00026	CDS	hypothetical protein
PHAGE_00027	CDS	hypothetical protein
PHAGE_00028	CDS	hypothetical protein
PHAGE_00029	CDS	hypothetical protein
PHAGE_00030	CDS	hypothetical protein
PHAGE_00031	CDS	hypothetical protein
PHAGE_00032	CDS	hypothetical protein
PHAGE_00033	CDS	hypothetical protein
PHAGE_00034	CDS	hypothetical protein
PHAGE_00035	CDS	hypothetical protein
PHAGE_00036	CDS	hypothetical protein
PHAGE_00037	CDS	hypothetical protein
PHAGE_00038	CDS	hypothetical protein
PHAGE_00039	CDS	hypothetical protein
PHAGE_00040	CDS	hypothetical protein
PHAGE_00041	CDS	hypothetical protein
PHAGE_00042	CDS	hypothetical protein
PHAGE_00043	CDS	hypothetical protein
PHAGE_00044	CDS	hypothetical protein
PHAGE_00045	CDS	hypothetical protein
PHAGE_00046	CDS	hypothetical protein
PHAGE_00047	CDS	hypothetical protein
PHAGE_00048	CDS	hypothetical protein
PHAGE_00049	CDS	hypothetical protein
PHAGE_00050	CDS	hypothetical protein
PHAGE_00051	CDS	hypothetical protein
PHAGE_00052	CDS	hypothetical protein
PHAGE_00053	CDS	hypothetical protein
PHAGE_00054	CDS	hypothetical protein
PHAGE_00055	CDS	hypothetical protein
PHAGE_00056	CDS	hypothetical protein
PHAGE_00057	CDS	hypothetical protein
PHAGE_00058	CDS	hypothetical protein
PHAGE_00059	CDS	hypothetical protein
PHAGE_00060	CDS	hypothetical protein
PHAGE_00061	CDS	hypothetical protein
PHAGE_00062	CDS	hypothetical protein
PHAGE_00063	CDS	hypothetical protein
PHAGE_00064	CDS	hypothetical protein
PHAGE_00065	CDS	hypothetical protein
PHAGE_00066	CDS	hypothetical protein
PHAGE_00067	CDS	hypothetical protein
PHAGE_00068	CDS	hypothetical protein
PHAGE_00069	CDS	hypothetical protein
PHAGE_00070	CDS	hypothetical protein
PHAGE_00071	CDS	hypothetical protein
PHAGE_00072	CDS	hypothetical protein
PHAGE_00073	CDS	hypothetical protein
PHAGE_00074	CDS	hypothetical protein
PHAGE_00075	CDS	hypothetical protein
PHAGE_00076	CDS	hypothetical protein
PHAGE_00077	CDS	hypothetical protein
PHAGE_00078	CDS	hypothetical protein
