#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
501	64	-	contig_0	-1.979233E+00
1027	641	-	contig_0	-3.565744E+01
1901	981	-	contig_0	-2.017043E+04
2957	1908	-	contig_0	-1.165495E+04
4330	2966	-	contig_0	-2.053461E+05
5118	4327	-	contig_0	-2.201011E+03
5765	5115	-	contig_0	-4.063791E+01
6025	5765	-	contig_0	-2.993981E-01
7055	6144	-	contig_0	-7.141190E+04
7489	7064	-	contig_0	-6.132717E+01
7730	7533	-	contig_0	-2.151032E-01
8706	7696	-	contig_0	-9.828980E+04
10232	8646	-	contig_0	-9.774536E+05
10265	10444	+	contig_0	-6.750907E+00
10472	10981	+	contig_0	-4.269936E+00
11150	11007	-	contig_0	-6.121452E-02
11862	11140	-	contig_0	-1.845762E+03
11974	11852	-	contig_0	-2.954998E+00
14616	11974	-	contig_0	-3.120976E+10
15059	14604	-	contig_0	-1.503055E+02
15925	15116	-	contig_0	-4.944124E+02
16179	15925	-	contig_0	-1.175911E+01
16349	16161	-	contig_0	-9.464533E+00
16579	16376	-	contig_0	-1.592144E+01
17352	16576	-	contig_0	-1.170995E+04
17618	17349	-	contig_0	-3.641094E+01
17851	17672	-	contig_0	-2.088387E+00
18165	17851	-	contig_0	-1.259009E+02
18484	18179	-	contig_0	-1.562099E+01
18704	18477	-	contig_0	-1.145471E+01
18749	18979	+	contig_0	-1.128641E+01
18993	19223	+	contig_0	-1.717368E+01
19220	19360	+	contig_0	-2.838192E+01
19321	19413	+	contig_0	-3.973929E+00
19575	19733	+	contig_0	-1.854494E+00
19832	19707	-	contig_0	-4.832491E+00
20279	19890	-	contig_0	-1.530312E+02
20503	20306	-	contig_0	-1.809943E+01
20740	20507	-	contig_0	-1.925669E-01
20987	20781	-	contig_0	-2.650174E+01
21332	21006	-	contig_0	-3.301748E+01
21370	22476	+	contig_0	-2.258066E+05
22482	22667	+	contig_0	-5.775715E-01
22728	23303	+	contig_0	-1.332656E+03
23375	23497	+	contig_0	-2.528819E-01
23494	23709	+	contig_0	-4.462705E-01
23706	24536	+	contig_0	-1.972214E+04
24591	24806	+	contig_0	-5.863928E+01
25037	24924	-	contig_0	-1.701730E+00
25261	25070	-	contig_0	-1.647130E+00
25413	25297	-	contig_0	-4.188590E+00
25538	25425	-	contig_0	-2.785156E+00
25720	25535	-	contig_0	-6.923246E+00
25926	25786	-	contig_0	-1.349432E+00
26047	25910	-	contig_0	-2.886454E+00
26201	26028	-	contig_0	-1.148477E+00
26393	26259	-	contig_0	-2.511450E+00
26536	26390	-	contig_0	-7.411152E+00
26517	26672	+	contig_0	-6.667039E+00
26679	26774	+	contig_0	-1.438889E-01
26842	28701	+	contig_0	-3.142665E+09
28735	31032	+	contig_0	-1.913249E+11
30992	31414	+	contig_0	-2.603207E+02
31414	32916	+	contig_0	-6.282928E+07
32918	33025	+	contig_0	-3.229011E+00
33039	33578	+	contig_0	-1.229174E+02
33712	33963	+	contig_0	-1.375384E+01
33947	34366	+	contig_0	-1.746736E+02
34368	34613	+	contig_0	-9.904699E+01
34597	35184	+	contig_0	-3.594074E+02
35273	35488	+	contig_0	-6.716036E+00
35619	35792	+	contig_0	-1.436573E-01
35802	35921	+	contig_0	-1.448309E-01
36000	36092	+	contig_0	-7.393719E-02
36103	36192	+	contig_0	-1.436672E-01
36228	36332	+	contig_0	-2.384752E-01
36486	37061	+	contig_0	-3.881415E+03
37257	37147	-	contig_0	-2.823631E+00
37402	37289	-	contig_0	-2.110011E+00
38151	37402	-	contig_0	-1.364767E+02
38076	38564	+	contig_0	-2.102528E+02
38579	39061	+	contig_0	-4.563062E+02
39126	39359	+	contig_0	-1.435491E+01
39371	39565	+	contig_0	-8.443008E+00
39627	39998	+	contig_0	-9.470783E+02
40031	40327	+	contig_0	-1.740670E+02
40317	40685	+	contig_0	-8.813789E+00
40688	40915	+	contig_0	-2.567711E+01
40964	41068	+	contig_0	-2.344158E+00
41046	41663	+	contig_0	-8.610519E+02
41650	41874	+	contig_0	-2.644659E+01
41924	42037	+	contig_0	-6.629897E-01
42051	42293	+	contig_0	-1.982735E+01
42862	42305	-	contig_0	-7.333942E+02
43021	42899	-	contig_0	-1.663659E-01
43624	43073	-	contig_0	-3.929158E+02
43906	43709	-	contig_0	-1.807160E+01
44137	44015	-	contig_0	-6.760242E-02
44104	44826	+	contig_0	-4.149873E+02
44823	44981	+	contig_0	-8.162346E+00
44981	45070	+	contig_0	-4.269985E+00
45110	45223	+	contig_0	-1.787339E-01
45384	46094	+	contig_0	-3.657791E+03
46120	46371	+	contig_0	-1.997157E+01
46371	46982	+	contig_0	-8.291504E+02
46970	47467	+	contig_0	-2.529999E+02
47476	48123	+	contig_0	-2.203549E+03
49279	48137	-	contig_0	-1.199579E+06
49455	49276	-	contig_0	-3.495042E+00
49508	49636	+	contig_0	-1.062030E-01
50000	49743	-	contig_0	-1.264034E+01
