#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
234	479	+	contig_0	-4.688332E-01
958	644	-	contig_0	-1.544191E+02
1162	1016	-	contig_0	-1.001725E+01
1777	1274	-	contig_0	-3.274872E+02
2032	1793	-	contig_0	-2.583520E+01
2928	2074	-	contig_0	-4.455227E+04
4037	3075	-	contig_0	-7.884207E+07
4160	4062	-	contig_0	-1.118601E+01
5580	4153	-	contig_0	-9.367323E+10
7016	5598	-	contig_0	-3.187615E+08
7465	7127	-	contig_0	-9.278274E+00
8072	7428	-	contig_0	-1.329881E+03
8308	8129	-	contig_0	-5.039177E+00
8777	8475	-	contig_0	-1.295226E+02
9376	8777	-	contig_0	-9.920073E+03
9675	9385	-	contig_0	-4.087073E+01
9739	9999	+	contig_0	-4.473407E+02
