#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
519	88	-	contig_0	-4.843206E+01
931	608	-	contig_0	-1.078686E+02
1734	1036	-	contig_0	-2.251979E+04
2087	1731	-	contig_0	-1.210965E+03
2133	2225	+	contig_0	-7.577734E-02
2320	2679	+	contig_0	-1.227493E+03
2770	2880	+	contig_0	-1.039952E+01
2883	3014	+	contig_0	-7.671600E-01
3021	3200	+	contig_0	-2.753428E+01
3149	3718	+	contig_0	-3.554522E+04
3842	4171	+	contig_0	-6.852031E+02
4529	4389	-	contig_0	-1.944519E-01
4930	4538	-	contig_0	-1.947549E+03
5000	4908	-	contig_0	-4.476678E+00
