#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
1	150	+	contig_0	-3.842895E+00
153	437	+	contig_0	-1.261632E+02
492	1268	+	contig_0	-7.386711E+04
1238	2056	+	contig_0	-3.597077E+05
2059	2421	+	contig_0	-2.274051E+02
2598	2729	+	contig_0	-1.729489E+00
2735	3037	+	contig_0	-5.430273E+01
3055	3309	+	contig_0	-5.801111E+00
3306	3734	+	contig_0	-9.054258E+01
3745	4866	+	contig_0	-8.413316E+06
5031	6284	+	contig_0	-3.788459E+05
6256	7887	+	contig_0	-4.718270E+10
8023	8508	+	contig_0	-7.606055E+01
8508	9098	+	contig_0	-9.013535E+02
9099	9479	+	contig_0	-2.539708E+02
10454	9522	-	contig_0	-1.951259E+05
10441	10539	+	contig_0	-3.553344E-01
10556	12334	+	contig_0	-6.384918E+09
12366	12479	+	contig_0	-1.339411E-01
12705	12815	+	contig_0	-6.169718E-02
12896	13039	+	contig_0	-3.201951E-01
18140	13050	-	contig_0	-3.492306E+27
18120	18434	+	contig_0	-1.874138E+01
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
334	2	-	contig_1	-6.813275E+01
2893	341	-	contig_1	-1.591251E+13
4349	2787	-	contig_1	-3.526751E+06
4476	4351	-	contig_1	-2.726410E+00
4684	4490	-	contig_1	-1.009371E-01
5189	4674	-	contig_1	-8.790948E+02
5971	5186	-	contig_1	-8.189212E+03
6415	6041	-	contig_1	-4.142440E+01
6978	6463	-	contig_1	-1.491968E+01
8493	6982	-	contig_1	-1.067247E+07
8990	8523	-	contig_1	-3.949079E+02
9105	9016	-	contig_1	-1.036988E+00
11138	9102	-	contig_1	-4.540315E+07
11495	11154	-	contig_1	-4.027915E+02
12119	11574	-	contig_1	-1.442341E+02
12595	12110	-	contig_1	-5.765373E+02
12681	12592	-	contig_1	-1.420391E+00
13349	12681	-	contig_1	-1.113783E+03
13745	13353	-	contig_1	-2.410462E+02
14251	13751	-	contig_1	-8.996137E+02
14723	14256	-	contig_1	-8.900501E+02
15130	14720	-	contig_1	-1.253423E+02
15552	15127	-	contig_1	-8.614677E+01
16058	15540	-	contig_1	-4.222488E+02
17155	16025	-	contig_1	-2.166322E+06
17302	17183	-	contig_1	-1.871452E-01
17775	17299	-	contig_1	-4.116082E+02
17776	17925	+	contig_1	-1.001175E-01
18019	18333	+	contig_1	-1.707174E+01
19116	18307	-	contig_1	-1.188000E+04
19267	19121	-	contig_1	-1.179685E+00
19454	19350	-	contig_1	-4.553910E+00
#id:	contig_2
#START	STOP	FRAME	CONTIG	SCORE
369	1	-	contig_2	-2.272896E+01
875	396	-	contig_2	-1.700100E+03
1103	924	-	contig_2	-1.880513E+00
1245	1144	-	contig_2	-1.130170E-01
1791	1315	-	contig_2	-8.093477E+02
1922	1809	-	contig_2	-2.639999E+00
2098	1979	-	contig_2	-9.988071E-01
2495	2067	-	contig_2	-1.611481E+01
2673	2506	-	contig_2	-3.718946E-01
2868	2710	-	contig_2	-6.993798E+00
3677	2865	-	contig_2	-8.397382E+03
3964	3656	-	contig_2	-1.236828E+02
4883	3948	-	contig_2	-4.551218E+03
6048	4945	-	contig_2	-2.288137E+05
6443	6033	-	contig_2	-2.636472E+01
7330	6425	-	contig_2	-5.812130E+05
7433	7332	-	contig_2	-1.193383E+00
7585	7496	-	contig_2	-4.373408E+00
7774	7601	-	contig_2	-8.238731E+00
8940	7753	-	contig_2	-1.884239E+05
9710	9153	-	contig_2	-5.155627E+02
10030	9806	-	contig_2	-1.556674E+01
10255	10097	-	contig_2	-3.114017E+00
10968	10261	-	contig_2	-2.738314E+03
11336	10968	-	contig_2	-1.595281E+02
11997	11275	-	contig_2	-9.430637E+02
