#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
2	130	+	contig_0	-2.427256E+00
106	1599	+	contig_0	-4.073731E+11
1599	1751	+	contig_0	-4.626128E+01
1804	2286	+	contig_0	-5.613800E+03
2283	2735	+	contig_0	-2.661149E+03
3412	2744	-	contig_0	-1.332718E+04
4001	3519	-	contig_0	-3.408778E+03
4057	4191	+	contig_0	-3.753703E-01
4218	4631	+	contig_0	-1.687790E+04
4628	5464	+	contig_0	-2.411490E+07
#id:	contig_1
#START	STOP	FRAME	CONTIG	SCORE
1	183	+	contig_1	-1.411008E+02
170	277	+	contig_1	-8.050986E-01
421	615	+	contig_1	-4.537805E+02
640	774	+	contig_1	-3.262030E+01
793	1293	+	contig_1	-7.733791E+04
1394	1984	+	contig_1	-4.879731E+05
1981	2511	+	contig_1	-6.304308E+04
2630	2758	+	contig_1	-2.430248E+01
2751	3143	+	contig_1	-5.452851E+02
3143	3667	+	contig_1	-3.015430E+05
3778	4533	+	contig_1	-2.163380E+08
